county	schoolName
20	157,235,273,881,1998,2465,2466,2467
21	15,45,50,196,197,412,583,588,658,678,742,784,873,960,962,990,991,1089,1096,1112,1249,1278,1328,1455,1493,1675,1762,1796,1950,1951,2315,2403,2489
22	82,1495,1496,2190,2191
23	247,344,345,346,348,349,376,397,427,475,555,556,608,666,724,759,767,833,926,956,1045,1055,1098,1163,1164,1183,1199,1224,1265,1287,1309,1314,1388,1389,1391,1439,1486,1509,1516,1517,1519,1530,1557,1570,1599,1640,1670,1685,1686,1789,1897,1917,1970,2003,2006,2023,2024,2025,2045,2269,2272,2291,2385,2399
24	74,87,88,191,275,334,587,660,932,1442,1553,1554,1555,1556,1572,1607,1739,1798,1853,1884,1900,1961,1962,1963,1971,2041,2068,2081,2317,2338,2350,2419
25	549,622,1840,2225,2284,2286,2330
26	1,2,3,10,17,23,30,39,46,47,94,116,117,126,154,165,172,175,184,189,200,207,212,242,244,255,256,257,258,271,276,277,279,283,284,285,305,306,316,325,337,338,342,383,386,403,405,423,432,439,451,454,460,469,472,494,500,506,514,525,529,530,532,551,558,574,581,586,601,605,614,620,623,632,633,636,637,645,648,653,656,657,663,667,670,697,712,713,714,718,719,720,723,727,736,743,744,753,774,775,780,782,796,810,812,813,817,820,821,827,831,838,844,845,846,855,868,879,901,909,917,924,925,929,942,945,946,953,966,968,974,987,992,1009,1011,1021,1022,1047,1048,1050,1054,1056,1059,1067,1071,1076,1077,1080,1082,1100,1105,1111,1116,1117,1118,1123,1124,1125,1127,1129,1131,1134,1136,1137,1138,1149,1159,1161,1171,1178,1191,1192,1194,1195,1198,1204,1206,1207,1209,1221,1245,1251,1254,1262,1269,1270,1273,1280,1281,1298,1302,1303,1307,1322,1337,1338,1343,1349,1362,1365,1373,1384,1389,1393,1397,1402,1406,1420,1423,1424,1443,1448,1451,1459,1502,1520,1526,1528,1529,1551,1575,1576,1577,1578,1580,1583,1607,1608,1621,1622,1626,1642,1643,1649,1650,1653,1660,1662,1665,1668,1677,1684,1688,1693,1699,1715,1727,1729,1737,1772,1773,1784,1786,1787,1788,1790,1792,1795,1818,1825,1830,1836,1837,1843,1857,1860,1862,1864,1878,1887,1896,1899,1916,1923,1925,1934,1936,1937,1949,1964,1967,1968,1989,2008,2009,2010,2011,2012,2015,2018,2030,2039,2057,2061,2063,2084,2085,2094,2095,2111,2113,2114,2157,2161,2178,2179,2181,2193,2201,2202,2210,2212,2249,2261,2264,2271,2276,2277,2279,2290,2291,2302,2304,2305,2314,2327,2331,2340,2344,2360,2362,2368,2372,2374,2375,2376,2377,2383,2388,2395,2404,2422,2424,2425,2426,2427,2435,2447,2468,2479,2491,2492,2493,2495,2496,2501,2510,2511,2512
27	20,79,99,142,173,238,253,259,364,453,457,515,518,554,573,727,748,749,765,766,768,769,832,834,836,854,911,1032,1139,1166,1264,1296,1297,1353,1638,1657,1669,1711,1724,1741,1767,1768,1895,1905,1906,1907,1933,1954,2051,2164,2189,2206,2246,2280,2281,2283,2321,2343,2390,2433,2451,2478,2494
28	902,1035
29	32,75,100,155,169,170,186,195,213,252,304,318,336,378,401,435,441,466,591,694,716,717,757,933,951,952,967,976,994,1005,1037,1206,1210,1217,1274,1375,1428,1444,1463,1468,1476,1510,1523,1524,1535,1549,1582,1598,1694,1695,1698,1700,1709,1814,1815,1816,1822,1831,1835,1888,1913,2027,2033,2061,2074,2172,2182,2262,2270,2298,2299,2300,2301,2321,2322,2341,2356,2359,2516
30	1712
31	347
32	216,1173,1565,2104
