city	schoolName
89	15,45,50,412,583,588,658,742,960,962,1096,1112,1328,1455,1675,1796,1950,1951,2315,2403,2489
90	2344
91	1181,1182,2021
92	759,1183,1509,1517,2269,2385
93	155,186,252,304,336,401,441,952,976,1005,1210,1217,1375,1468,1523,1524,1535,1598,1694,1816,1822,1831,1888,2027,2033,2172,2182,2262,2298,2322,2341,2356
94	75,100,591,1274,1510,1549,1814,2359
95	74,191,275,660,932,1442,1553,1555,1556,1572,1607,1739,1798,1853,1884,1971,2041,2068,2081,2317,2350,2419
96	549,622,2225,2284
97	143,220,221,264,615,910,1063,1099,1265,1573,1574,2120,2431
98	494,633,925,1011,1393,1575,1576,1577,1578,2178
99	98,499,531,618,1106,1300,1563,1571,1609,1610,2129
100	5,8,14,52,53,91,124,130,131,132,134,135,136,139,146,177,193,194,225,262,266,269,294,298,340,362,384,396,431,433,437,458,473,474,478,479,507,508,519,520,568,599,630,631,651,683,685,693,700,701,708,710,777,784,789,797,804,808,815,823,862,864,894,900,938,979,984,993,1002,1007,1013,1017,1034,1036,1041,1078,1086,1142,1145,1172,1197,1218,1219,1221,1229,1236,1260,1261,1265,1282,1283,1345,1346,1367,1368,1371,1403,1435,1452,1507,1515,1567,1628,1629,1630,1631,1632,1633,1634,1635,1636,1637,1680,1710,1732,1745,1811,1839,1851,1880,1919,1932,1952,1965,1999,2030,2076,2116,2121,2136,2162,2169,2222,2237,2238,2243,2250,2288,2289,2296,2297,2417,2423,2438,2518,2522
101	2,316,325,712,917,1067,1076,1111,1125,1192,1245,1269,1443,1662,1699,1787,1795,1862,1968,2011,2201,2388,2512
102	222,380,1672,2059,2137,2506
103	475,767,1516,1685,1686,1897
104	1695,1835
105	1803
106	1326,1514,1701,1702,2326
107	579
108	393,1095,1717,1957
109	6,398,437,539,580,750,915,1080,1291,1344,1407,1437,1569,1586,1783,1915,1993,2112,2394,2399,2441
110	318,466,694,1037,1206,1428,1444,1698,1815,2061,2074,2270,2299,2300,2301
111	224,426,610,672,681,1347,1595,1878,1885,1886,1947,1959,2096
112	454,656,663,868,1117,1171,1451,1528,1949,2061,2302,2304
113	665
114	1780,2044
115	493,1479,1482,1833,1869,2067,2082
116	18,78,208,223,1080,1265,1344,1718,1845,1847,1893,2273,2395
117	1513
118	0,137,138,315,394,495,545,892,903,980,1100,1108,1233,1319,1355,1370,1414,1481,1548,1615,1617,1865,1866,2042,2118,2119,2144,2175,2321,2395,2479
119	99,259,453,1711,1724,1905,1906,1907,1954,2051,2189,2283,2321,2343,2433
120	20,173,238,253,364,515,518,573,727,748,749,832,834,836,1032,1139,1353,1638,1657,1669,1895,1933,2164,2246,2390,2451,2478,2494
121	247,666,724,926,956,1098,1199,1224,1265,1287,1314,1439,1486,1519,1530,1557,1570,1599,1640,1917,1970,2006,2045,2291,2399
122	347
123	51,112,118,400,787,1974
124	1263,1976
125	213,435,716,1709
126	338
127	140,167,300,498,544,823,972,1080,1115,1266,1344,1438,1502,1917,1981,1982,1983,2122,2128,2395,2398,2479,2497
128	158,456,863,1065,1220,1398,1474,1994,2049,2177,2227,2311
129	2193
130	17,342,386,403,574,653,796,838,1080,1136,1365,1502,1843,2008,2057,2314,2375,2377,2395,2479
131	11,123,249,265,333,335,366,684,870,983,1066,1184,1235,1248,1478,1596,1769,1878,1930,2001,2013,2032,2062,2075,2304,2306,2457
132	1823,1861
133	647,784,892,1091,1268,1438,1656,1681,1754,1917,2005,2439
134	1056
135	376,608,833,1670,2023,2024,2025
136	2053,2054
137	83,1094,2064
138	2089
139	133,278,424,1030,1042,1255,1325,1344,1645,1917,1975,1990,2088,2090,2091,2097,2137,2139
140	1900,1961,1962,1963
141	30,714
142	85,1033,2197,2198
143	486,1080,1715,2205
144	602,1189,1294,1620
145	2268
146	172,200,306,469,946,966,987,1195,1397,1551,1899,1964,2277,2279,2368
147	2140
148	316,328,496,644,997,998,1454,1458,1461,1510,1666,1940,1945,1979,2093,2217,2265,2347,2409,2411,2503
149	212,637,753,810,1123,1790,2012,2018,2030,2193,2404,2424,2425,2468
150	725,807,1125,1190,1221,1471,2421,2434,2436
151	157,235,273,1998,2465,2466,2467
152	2475,2476,2477
153	207,277,736,1207,1338,1925,2264,2327,2510,2511
